Record Id,Vendor Name,Phone,Email,Website,GL Account,Category,Vendor Owner ID,Created by ID,Modified by ID,Created Time,Modified Time,Street,City,State,Zip Code,Country,Description,Currency,Exchange Rate,Layout ID,Tag,GST Registration No,Vendor Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time
zcrm_1920545000000613001,kk,,kenneth@inbody.com,,Sales-Software,,zcrm_1920545000000097003,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-02-17 02:01:21,2018-05-08 12:34:22,,,,,,,INR,1.000000000,,,,,,,,2018-05-08 11:34:22
zcrm_1920545000000792072,InBody India,,karn@inbody.com,info@inbodyindia.com,,,zcrm_1920545000000097003,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:36:20,2018-05-08 12:34:22,,,,,,Its A Demo Form,INR,1.000000000,zcrm_1920545000000091015,,,,,,,2018-05-08 11:34:22
zcrm_1920545000000792073,SPARK  ENTERPRISES,,sparkent01@gmail.com,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:36:20,2018-05-08 12:34:22,"Spark Enterprises
Vidhata, 1st floor,
Opposite Datta Mandir,
Chendani (West)",Thane,Maharashtra,400601,,,INR,1.000000000,zcrm_1920545000000091015,,,,,,,2018-05-08 11:34:22
zcrm_1920545000000792074,Sandmartin,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:36:20,2018-05-08 12:34:22,,,,,,,INR,1.000000000,zcrm_1920545000000091015,,,,,,,2018-05-08 11:34:22
zcrm_1920545000000792075,FAB Infotech,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:36:20,2018-05-08 12:34:22,,,,,,,INR,1.000000000,zcrm_1920545000000091015,,,,,,,2018-05-08 11:34:22
zcrm_1920545000000792076,Digit Telecommuniactions,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:36:20,2021-06-28 15:08:10,,,,,,,INR,1.000000000,zcrm_1920545000000091015,,,,,,,2021-06-28 15:08:10
zcrm_1920545000000792077,Purple the store,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:36:20,2018-05-08 12:34:22,,,,,,,INR,1.000000000,zcrm_1920545000000091015,,,,,,,2018-05-08 11:34:22
zcrm_1920545000000792078,Amazon.in,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:36:20,2018-05-08 12:34:22,,,,,,,INR,1.000000000,zcrm_1920545000000091015,,,,,,,2018-05-08 11:34:22
zcrm_1920545000000792079,Zoho corp,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:36:20,2018-05-08 12:34:22,,,,,,,INR,1.000000000,zcrm_1920545000000091015,,,,,,,2018-05-08 11:34:22
zcrm_1920545000000792080,Physique Global,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:36:20,2021-06-28 15:08:10,,,,,,,INR,1.000000000,zcrm_1920545000000091015,,,,,,,2021-06-28 15:08:10
zcrm_1920545000000792081,Vagad Computers,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:36:20,2018-05-08 12:34:22,,,,,,,INR,1.000000000,zcrm_1920545000000091015,,,,,,,2018-05-08 11:34:22
zcrm_1920545000000792082,MB Sales Services,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:36:20,2018-05-08 12:34:22,,,,,,,INR,1.000000000,zcrm_1920545000000091015,,,,,,,2018-05-08 11:34:22
zcrm_1920545000000792083,"InBody Co., Ltd.",+82 2 501 3939,kenneth@inbody.com,www.inbody.in,,,zcrm_1920545000000097003,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:36:20,2018-05-08 12:34:22,"InBody Building, Nonhyeon-ro 2-gil",Seoul,Gangnam-gu,135-960,Republic of Korea,,INR,1.000000000,zcrm_1920545000000091015,,,,,,,2018-05-08 11:34:22
zcrm_1920545000000792084,vistaprint,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:36:20,2018-05-08 12:34:22,"C Block, ""Voltas Premises"", T.B. Kadam Marg, Chinchpokli,",Mumbai,Maharashtra,400033,India,,INR,1.000000000,zcrm_1920545000000091015,,,,,,,2018-05-08 11:34:22
zcrm_1920545000000792085,Regus,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:36:20,2018-05-08 12:34:22,,,,,,,INR,1.000000000,zcrm_1920545000000091015,,,,,,,2018-05-08 11:34:22
zcrm_1920545000000792086,Make My Trip,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:36:20,2021-06-28 15:08:10,,,,,,,INR,1.000000000,zcrm_1920545000000091015,,27AAECI1883N1Z2,,,,,2021-06-28 15:08:10
zcrm_1920545000000792087,Gada Plastics,,,,,,zcrm_1920545000000097003,zcrm_1920545000000097003,zcrm_1920545000000097003,2017-04-12 17:36:20,2018-05-08 12:34:22,,,,,,,INR,1.000000000,zcrm_1920545000000091015,,,,,,,2018-05-08 11:34:22
